Incident ID,Date,Site,Country,Incident Type,Severity,Shift,Response Time (min),Badge Access,CCTV Alert,Visitor,Outcome
INC00001,2025-05-23,London,UK,Tailgating,High,Day,11,No,Yes,No,Confirmed
INC00002,2026-03-06,Singapore,Singapore,Lost Badge,Low,Evening,4,Yes,Yes,No,Confirmed
INC00003,2025-08-09,Austin,USA,Visitor Policy Violation,Medium,Day,16,Yes,Yes,No,Resolved
INC00004,2026-01-23,Bangalore,India,CCTV False Alarm,Low,Night,10,Yes,Yes,No,False Alarm
INC00005,2025-02-16,Tokyo,Japan,Suspicious Package,Critical,Night,7,N/A,No,No,Confirmed
INC00006,2025-12-30,Sydney,Australia,Emergency Exit Misuse,High,Day,4,Yes,Yes,No,Resolved
INC00007,2026-01-24,Austin,USA,CCTV Offline,Medium,Day,10,No,Yes,No,Resolved
INC00008,2026-02-15,Bangalore,India,Lost Badge,Low,Night,23,Yes,Yes,No,Under Investigation
INC00009,2026-04-15,Tokyo,Japan,Lost Badge,Medium,Day,13,No,Yes,No,Confirmed
INC00010,2025-05-22,Berlin,Germany,Badge Misuse,Medium,Night,14,Yes,Yes,Yes,Confirmed
INC00011,2026-01-30,Austin,USA,Emergency Exit Misuse,High,Evening,2,Yes,No,No,Confirmed
INC00012,2025-12-15,London,UK,Emergency Exit Misuse,High,Night,23,Yes,Yes,No,Under Investigation
INC00013,2025-04-19,Dublin,Ireland,CCTV Offline,Medium,Evening,14,No,Yes,Yes,Resolved
INC00014,2025-04-25,Bangalore,India,Suspicious Package,High,Evening,8,No,No,No,Confirmed
INC00015,2026-05-13,Bangalore,India,Lost Badge,Low,Day,17,Yes,Yes,No,Under Investigation
INC00016,2025-07-25,Austin,USA,Suspicious Person,High,Night,2,No,Yes,No,Confirmed
INC00017,2025-12-13,Sydney,Australia,Unauthorized Access,Medium,Day,18,Yes,Yes,No,Confirmed
INC00018,2025-09-01,London,UK,Tailgating,High,Day,12,Yes,Yes,No,Resolved
INC00019,2025-07-14,Sydney,Australia,Lost Badge,Medium,Night,18,Yes,Yes,No,Confirmed
INC00020,2025-04-22,London,UK,Tailgating,High,Night,16,Yes,Yes,No,Confirmed
INC00021,2025-03-19,Dublin,Ireland,CCTV False Alarm,Low,Night,2,Yes,Yes,No,False Alarm
INC00022,2026-05-13,Bangalore,India,Unauthorized Access,Medium,Day,15,Yes,No,No,Confirmed
INC00023,2026-04-11,Bangalore,India,Visitor Policy Violation,Medium,Night,10,No,Yes,No,Confirmed
INC00024,2025-03-04,Singapore,Singapore,Suspicious Person,Medium,Night,19,No,Yes,No,Confirmed
INC00025,2025-03-12,Austin,USA,Tailgating,Medium,Night,5,Yes,Yes,No,Confirmed
INC00026,2026-06-20,Bangalore,India,Suspicious Package,Critical,Day,7,Yes,Yes,No,Confirmed
INC00027,2025-11-04,Dublin,Ireland,Visitor Policy Violation,Low,Evening,2,No,Yes,No,Confirmed
INC00028,2025-05-16,London,UK,Unauthorized Access,Medium,Evening,15,No,No,No,Confirmed
INC00029,2026-06-26,Austin,USA,CCTV False Alarm,Low,Evening,21,Yes,Yes,No,False Alarm
INC00030,2025-06-09,Austin,USA,Suspicious Person,Medium,Night,12,Yes,Yes,No,Confirmed
INC00031,2025-02-22,Dublin,Ireland,CCTV Offline,Medium,Day,16,Yes,Yes,No,Resolved
INC00032,2026-03-14,Dublin,Ireland,Door Forced Open,Critical,Evening,14,Yes,Yes,No,Confirmed
INC00033,2025-06-01,Austin,USA,CCTV Offline,Medium,Night,10,Yes,No,No,Confirmed
INC00034,2025-12-29,Tokyo,Japan,Lost Badge,Low,Evening,12,No,No,No,Resolved
INC00035,2025-07-01,Austin,USA,Lost Badge,Low,Night,12,No,Yes,No,Resolved
INC00036,2025-04-21,Singapore,Singapore,Suspicious Person,Medium,Night,11,Yes,Yes,No,Confirmed
INC00037,2025-08-22,Sydney,Australia,Badge Misuse,High,Night,13,Yes,Yes,Yes,Resolved
INC00038,2025-12-06,Tokyo,Japan,Emergency Exit Misuse,High,Evening,19,No,Yes,No,Confirmed
INC00039,2025-12-20,Dublin,Ireland,Tailgating,Medium,Evening,11,No,Yes,No,Confirmed
INC00040,2025-07-21,Dublin,Ireland,Tailgating,High,Day,7,Yes,Yes,No,Confirmed
INC00041,2025-11-04,Tokyo,Japan,Emergency Exit Misuse,Medium,Night,4,Yes,Yes,No,Confirmed
INC00042,2025-11-05,Berlin,Germany,Emergency Exit Misuse,Medium,Evening,11,Yes,No,No,Confirmed
INC00043,2025-08-07,Tokyo,Japan,CCTV False Alarm,Low,Day,3,N/A,Yes,No,False Alarm
INC00044,2025-08-29,Dublin,Ireland,CCTV Offline,Medium,Day,11,No,Yes,Yes,Confirmed
INC00045,2025-07-19,Singapore,Singapore,CCTV False Alarm,Low,Evening,11,Yes,Yes,No,False Alarm
INC00046,2026-06-15,London,UK,Visitor Policy Violation,Low,Day,7,Yes,Yes,No,Confirmed
INC00047,2026-03-30,Austin,USA,CCTV False Alarm,Low,Night,5,Yes,No,No,False Alarm
INC00048,2025-09-11,Austin,USA,CCTV False Alarm,Low,Day,6,No,Yes,No,False Alarm
INC00049,2025-03-21,Sydney,Australia,Emergency Exit Misuse,Medium,Day,11,Yes,No,Yes,Confirmed
INC00050,2026-02-22,Berlin,Germany,Door Forced Open,High,Day,8,Yes,Yes,Yes,Resolved
INC00051,2026-01-25,Berlin,Germany,Suspicious Package,Critical,Night,2,Yes,Yes,No,Confirmed
INC00052,2026-05-13,Singapore,Singapore,CCTV False Alarm,Low,Day,13,Yes,Yes,No,False Alarm
INC00053,2025-01-28,Berlin,Germany,Door Forced Open,Critical,Night,17,No,Yes,No,Under Investigation
INC00054,2025-08-05,Austin,USA,Tailgating,High,Day,8,Yes,Yes,No,Confirmed
INC00055,2025-02-23,Berlin,Germany,Suspicious Person,Medium,Evening,16,No,Yes,No,Resolved
INC00056,2025-09-02,Singapore,Singapore,Lost Badge,Low,Evening,11,Yes,Yes,No,Confirmed
INC00057,2025-04-28,Dublin,Ireland,Badge Misuse,Medium,Evening,12,Yes,Yes,No,Confirmed
INC00058,2025-09-06,Berlin,Germany,Visitor Policy Violation,Low,Day,9,Yes,Yes,No,Resolved
INC00059,2026-03-15,London,UK,Suspicious Package,Critical,Day,11,No,Yes,No,Confirmed
INC00060,2026-03-22,Berlin,Germany,Badge Misuse,High,Night,10,Yes,Yes,No,Resolved
INC00061,2025-10-02,Sydney,Australia,CCTV False Alarm,Low,Night,10,No,Yes,No,False Alarm
INC00062,2026-05-22,Sydney,Australia,Suspicious Package,High,Day,15,No,Yes,Yes,Resolved
INC00063,2026-06-14,Tokyo,Japan,Suspicious Person,High,Evening,14,No,Yes,No,Resolved
INC00064,2025-08-15,Sydney,Australia,CCTV False Alarm,Low,Day,11,Yes,Yes,No,False Alarm
INC00065,2025-12-05,Tokyo,Japan,CCTV False Alarm,Low,Day,8,Yes,Yes,No,False Alarm
INC00066,2026-05-11,Tokyo,Japan,Unauthorized Access,Medium,Day,16,Yes,Yes,No,Confirmed
INC00067,2025-07-03,London,UK,Lost Badge,Medium,Day,9,Yes,Yes,Yes,Confirmed
INC00068,2025-01-13,Austin,USA,Emergency Exit Misuse,High,Day,19,Yes,Yes,No,Confirmed
INC00069,2025-03-08,Bangalore,India,Suspicious Person,High,Day,10,No,Yes,Yes,Confirmed
INC00070,2026-03-03,Dublin,Ireland,Unauthorized Access,Medium,Day,13,No,Yes,Yes,Confirmed
INC00071,2026-03-16,Sydney,Australia,CCTV False Alarm,Low,Night,9,No,Yes,No,False Alarm
INC00072,2025-03-25,Singapore,Singapore,Emergency Exit Misuse,Medium,Day,18,Yes,Yes,Yes,Confirmed
INC00073,2025-08-26,Sydney,Australia,Suspicious Package,High,Day,11,No,Yes,Yes,Confirmed
INC00074,2025-06-02,Singapore,Singapore,Visitor Policy Violation,Low,Evening,15,No,No,Yes,Confirmed
INC00075,2026-04-25,Dublin,Ireland,Suspicious Package,High,Day,9,No,Yes,No,Confirmed
INC00076,2025-01-27,Bangalore,India,Visitor Policy Violation,Medium,Evening,4,Yes,No,No,Confirmed
INC00077,2025-06-29,Bangalore,India,Emergency Exit Misuse,High,Evening,4,No,Yes,No,Resolved
INC00078,2025-12-08,Sydney,Australia,Unauthorized Access,High,Day,13,Yes,Yes,Yes,Confirmed
INC00079,2025-02-07,Sydney,Australia,Suspicious Person,High,Night,7,Yes,No,No,Confirmed
INC00080,2025-07-12,Bangalore,India,Emergency Exit Misuse,High,Day,13,Yes,Yes,No,Confirmed
INC00081,2025-10-22,Bangalore,India,Lost Badge,Medium,Evening,4,Yes,No,No,Confirmed
INC00082,2025-04-06,Austin,USA,Suspicious Person,Medium,Evening,14,Yes,No,Yes,Under Investigation
INC00083,2025-10-07,Austin,USA,CCTV False Alarm,Low,Evening,7,Yes,Yes,Yes,False Alarm
INC00084,2025-10-10,Singapore,Singapore,Suspicious Package,Critical,Night,14,No,No,No,Confirmed
INC00085,2026-05-17,Dublin,Ireland,Tailgating,High,Night,15,Yes,Yes,No,Confirmed
INC00086,2025-08-28,Tokyo,Japan,Lost Badge,Low,Evening,7,No,Yes,No,Confirmed
INC00087,2025-02-07,Berlin,Germany,Visitor Policy Violation,Low,Evening,21,Yes,Yes,No,Confirmed
INC00088,2025-06-08,Sydney,Australia,Tailgating,Medium,Day,21,Yes,Yes,No,Resolved
INC00089,2026-01-25,Berlin,Germany,Emergency Exit Misuse,Medium,Night,18,No,Yes,No,Resolved
