incident_id,date,site,country,incident_type,severity,shift,response_time_min,badge_access,cctv_alert,visitor,outcome,year,month,month_name,year_month,day_of_week,is_weekend,severity_weight,high_risk_target,is_confirmed,is_unresolved,is_false_alarm,slow_response
INC00266,2025-01-01,Bangalore,India,Unauthorized Access,Medium,Day,2,N/A,Yes,No,Under Investigation,2025,1,Jan,2025-01,Wednesday,False,2,0,0,1,0,0
INC00570,2025-01-01,Sydney,Australia,Tailgating,High,Day,7,No,Yes,No,Resolved,2025,1,Jan,2025-01,Wednesday,False,3,1,0,0,0,0
INC00893,2025-01-01,Singapore,Singapore,Badge Misuse,Medium,Day,19,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Wednesday,False,2,0,1,0,0,1
INC01229,2025-01-01,Berlin,Germany,CCTV Offline,Medium,Day,9,No,Yes,No,Confirmed,2025,1,Jan,2025-01,Wednesday,False,2,0,1,0,0,0
INC00268,2025-01-02,Singapore,Singapore,Visitor Policy Violation,Low,Night,16,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Thursday,False,1,0,1,0,0,1
INC00288,2025-01-02,Tokyo,Japan,Emergency Exit Misuse,Medium,Night,5,No,Yes,No,Confirmed,2025,1,Jan,2025-01,Thursday,False,2,0,1,0,0,0
INC00414,2025-01-02,London,UK,Unauthorized Access,High,Evening,3,No,Yes,No,Confirmed,2025,1,Jan,2025-01,Thursday,False,3,1,1,0,0,0
INC01146,2025-01-02,Tokyo,Japan,Badge Misuse,High,Evening,12,No,Yes,No,Resolved,2025,1,Jan,2025-01,Thursday,False,3,1,0,0,0,0
INC01275,2025-01-02,Bangalore,India,Emergency Exit Misuse,High,Day,17,Yes,Yes,Yes,Under Investigation,2025,1,Jan,2025-01,Thursday,False,3,1,0,1,0,1
INC00953,2025-01-04,Tokyo,Japan,Unauthorized Access,High,Day,23,No,Yes,No,Confirmed,2025,1,Jan,2025-01,Saturday,True,3,1,1,0,0,1
INC01502,2025-01-04,Austin,USA,Emergency Exit Misuse,High,Night,16,Yes,Yes,No,Resolved,2025,1,Jan,2025-01,Saturday,True,3,1,0,0,0,1
INC01735,2025-01-04,Bangalore,India,CCTV False Alarm,Low,Night,5,No,No,No,False Alarm,2025,1,Jan,2025-01,Saturday,True,1,0,0,0,1,0
INC01986,2025-01-04,Bangalore,India,Visitor Policy Violation,Medium,Day,8,Yes,Yes,No,Under Investigation,2025,1,Jan,2025-01,Saturday,True,2,0,0,1,0,0
INC00372,2025-01-05,Sydney,Australia,CCTV False Alarm,Low,Night,9,Yes,Yes,No,False Alarm,2025,1,Jan,2025-01,Sunday,True,1,0,0,0,1,0
INC00806,2025-01-05,London,UK,Visitor Policy Violation,Medium,Day,2,Yes,Yes,Yes,Confirmed,2025,1,Jan,2025-01,Sunday,True,2,0,1,0,0,0
INC00394,2025-01-06,Tokyo,Japan,Tailgating,Medium,Day,11,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Monday,False,2,0,1,0,0,0
INC00421,2025-01-06,Tokyo,Japan,CCTV Offline,Medium,Day,15,Yes,Yes,Yes,Confirmed,2025,1,Jan,2025-01,Monday,False,2,0,1,0,0,0
INC00971,2025-01-06,Tokyo,Japan,Badge Misuse,High,Night,16,No,Yes,Yes,Confirmed,2025,1,Jan,2025-01,Monday,False,3,1,1,0,0,1
INC00986,2025-01-06,London,UK,Lost Badge,Medium,Night,9,No,No,No,Resolved,2025,1,Jan,2025-01,Monday,False,2,0,0,0,0,0
INC01664,2025-01-06,Sydney,Australia,Tailgating,Medium,Day,20,Yes,No,No,Resolved,2025,1,Jan,2025-01,Monday,False,2,0,0,0,0,1
INC00236,2025-01-07,Singapore,Singapore,CCTV False Alarm,Low,Day,20,No,Yes,No,False Alarm,2025,1,Jan,2025-01,Tuesday,False,1,0,0,0,1,1
INC01613,2025-01-07,Bangalore,India,Suspicious Package,Critical,Night,11,No,Yes,No,Confirmed,2025,1,Jan,2025-01,Tuesday,False,4,1,1,0,0,0
INC00124,2025-01-08,Austin,USA,Suspicious Person,High,Day,13,Yes,Yes,Yes,Confirmed,2025,1,Jan,2025-01,Wednesday,False,3,1,1,0,0,0
INC00417,2025-01-08,Dublin,Ireland,Lost Badge,Low,Night,9,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Wednesday,False,1,0,1,0,0,0
INC00582,2025-01-08,Austin,USA,Tailgating,High,Day,16,Yes,Yes,No,Under Investigation,2025,1,Jan,2025-01,Wednesday,False,3,1,0,1,0,1
INC00834,2025-01-08,Bangalore,India,Unauthorized Access,Medium,Evening,13,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Wednesday,False,2,0,1,0,0,0
INC01075,2025-01-08,Austin,USA,Door Forced Open,High,Day,8,No,Yes,No,Confirmed,2025,1,Jan,2025-01,Wednesday,False,3,1,1,0,0,0
INC00176,2025-01-09,Sydney,Australia,Suspicious Package,High,Day,11,No,Yes,No,Resolved,2025,1,Jan,2025-01,Thursday,False,3,1,0,0,0,0
INC00335,2025-01-09,Bangalore,India,CCTV False Alarm,Low,Evening,13,No,Yes,No,False Alarm,2025,1,Jan,2025-01,Thursday,False,1,0,0,0,1,0
INC00544,2025-01-09,Dublin,Ireland,Visitor Policy Violation,Medium,Night,16,No,Yes,No,Under Investigation,2025,1,Jan,2025-01,Thursday,False,2,0,0,1,0,1
INC00934,2025-01-09,Bangalore,India,Badge Misuse,Medium,Night,14,N/A,Yes,No,Confirmed,2025,1,Jan,2025-01,Thursday,False,2,0,1,0,0,0
INC01648,2025-01-09,Berlin,Germany,Emergency Exit Misuse,Medium,Night,9,Yes,Yes,Yes,Confirmed,2025,1,Jan,2025-01,Thursday,False,2,0,1,0,0,0
INC01818,2025-01-09,Dublin,Ireland,Badge Misuse,Medium,Evening,18,Yes,No,No,Under Investigation,2025,1,Jan,2025-01,Thursday,False,2,0,0,1,0,1
INC00093,2025-01-10,Sydney,Australia,Emergency Exit Misuse,High,Evening,16,Yes,Yes,Yes,Under Investigation,2025,1,Jan,2025-01,Friday,False,3,1,0,1,0,1
INC00353,2025-01-10,Dublin,Ireland,CCTV False Alarm,Low,Day,9,No,Yes,No,False Alarm,2025,1,Jan,2025-01,Friday,False,1,0,0,0,1,0
INC00719,2025-01-11,Tokyo,Japan,Tailgating,High,Day,10,Yes,Yes,No,Resolved,2025,1,Jan,2025-01,Saturday,True,3,1,0,0,0,0
INC01121,2025-01-11,Singapore,Singapore,Visitor Policy Violation,Medium,Day,13,Yes,Yes,No,Under Investigation,2025,1,Jan,2025-01,Saturday,True,2,0,0,1,0,0
INC01319,2025-01-11,London,UK,Badge Misuse,Medium,Day,11,Yes,No,No,Confirmed,2025,1,Jan,2025-01,Saturday,True,2,0,1,0,0,0
INC00280,2025-01-12,Austin,USA,Unauthorized Access,Medium,Night,12,Yes,No,No,Resolved,2025,1,Jan,2025-01,Sunday,True,2,0,0,0,0,0
INC00978,2025-01-12,Tokyo,Japan,Unauthorized Access,Medium,Day,13,No,Yes,No,Confirmed,2025,1,Jan,2025-01,Sunday,True,2,0,1,0,0,0
INC00068,2025-01-13,Austin,USA,Emergency Exit Misuse,High,Day,19,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Monday,False,3,1,1,0,0,1
INC00595,2025-01-13,London,UK,CCTV False Alarm,Low,Day,10,Yes,Yes,Yes,False Alarm,2025,1,Jan,2025-01,Monday,False,1,0,0,0,1,0
INC00765,2025-01-13,Tokyo,Japan,Suspicious Package,Critical,Day,10,No,Yes,No,Confirmed,2025,1,Jan,2025-01,Monday,False,4,1,1,0,0,0
INC00786,2025-01-13,Tokyo,Japan,Visitor Policy Violation,Medium,Night,11,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Monday,False,2,0,1,0,0,0
INC00911,2025-01-13,Berlin,Germany,Unauthorized Access,Medium,Night,8,Yes,No,No,Resolved,2025,1,Jan,2025-01,Monday,False,2,0,0,0,0,0
INC01323,2025-01-14,Singapore,Singapore,Unauthorized Access,Medium,Day,11,No,Yes,No,Under Investigation,2025,1,Jan,2025-01,Tuesday,False,2,0,0,1,0,0
